			   7.0M Z=0.02 VW-M 		
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   fe58    3.697E-05  4.688E-05   6.749E-01   3.726E-05  4.717E-05   6.777E-01
   fe60    5.290E-05  5.290E-05   0.000E+00   5.550E-05  5.550E-05   0.000E+00
   co59    1.809E-05  2.755E-05   4.639E-01   1.829E-05  2.776E-05   4.671E-01
   ni58   -8.919E-06  1.269E-04  -2.952E-02  -9.246E-06  1.266E-04  -3.065E-02
   ni60    1.143E-05  6.517E-05   8.376E-02   1.133E-05  6.506E-05   8.307E-02
   ni61    1.104E-04  1.128E-04   1.678E+00   1.166E-04  1.189E-04   1.701E+00
   ni62   -7.576E-06  6.024E-08  -2.103E+00  -7.576E-06  6.024E-08  -2.103E+00
      g    1.559E-05  1.573E-05   2.054E+00   1.682E-05  1.696E-05   2.087E+00
		           7.5M Z=0.008 VW-M
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -8.413E-01  3.858E+00  -8.569E-02  -8.470E-01  3.852E+00  -8.634E-02
    he3    4.534E-06  4.534E-06   0.000E+00   4.534E-06  4.534E-06   0.000E+00
    he4    7.130E-01  2.371E+00   1.553E-01   7.153E-01  2.373E+00   1.557E-01
    li7   -2.719E-08  2.579E-10  -2.027E+00  -2.719E-08  2.579E-10  -2.027E+00
    c12   -2.597E-03  6.519E-03  -1.456E-01   5.514E-04  9.667E-03   2.548E-02
    c13    1.493E-03  1.598E-03   1.181E+00   1.490E-03  1.595E-03   1.180E+00
    n14    1.356E-01  1.384E-01   1.694E+00   1.354E-01  1.382E-01   1.694E+00
    n15   -5.005E-06  5.626E-06  -2.764E-01  -5.011E-06  5.621E-06  -2.768E-01
    o16   -1.550E-02  9.893E-03  -4.094E-01  -1.533E-02  1.006E-02  -4.021E-01
    o17    3.257E-05  4.251E-05   6.313E-01   3.252E-05  4.245E-05   6.307E-01
    o18   -5.395E-05  1.413E-06  -1.593E+00  -5.395E-05  1.413E-06  -1.593E+00
    f19   -1.223E-06  2.075E-07  -8.385E-01  -1.145E-06  2.861E-07  -6.991E-01
   ne20    2.252E-04  4.864E-03   2.057E-02   2.351E-04  4.873E-03   2.145E-02
   ne21   -1.091E-05  9.294E-07  -1.105E+00  -1.005E-05  1.787E-06  -8.213E-01
   ne22    2.269E-03  2.641E-03   8.506E-01   2.297E-03  2.670E-03   8.551E-01
   na23   -4.042E-06  9.798E-05  -1.758E-02  -3.208E-07  1.017E-04  -1.393E-03
   mg24   -1.395E-03  1.000E-04  -1.175E+00  -1.390E-03  1.053E-04  -1.152E+00
   mg25    2.708E-03  2.905E-03   1.168E+00   2.795E-03  2.993E-03   1.181E+00
   mg26    4.706E-03  4.931E-03   1.339E+00   5.008E-03  5.234E-03   1.365E+00
   al26    1.662E-04  1.662E-04   0.000E+00   1.659E-04  1.659E-04   0.000E+00
   al27    2.926E-04  4.579E-04   4.424E-01   2.986E-04  4.639E-04   4.481E-01
   si28    1.781E-04  2.078E-03   3.889E-02   1.865E-04  2.087E-03   4.064E-02
   si29    4.791E-05  1.476E-04   1.704E-01   5.027E-05  1.500E-04   1.773E-01
   si30    1.004E-04  1.689E-04   3.920E-01   1.054E-04  1.738E-04   4.046E-01
   si32    5.631E-09  5.631E-09   0.000E+00   5.059E-08  5.059E-08   0.000E+00
    p31    2.688E-05  4.501E-05   3.949E-01   2.831E-05  4.644E-05   4.085E-01
    s32   -3.855E-05  1.310E-03  -1.262E-02  -3.986E-05  1.309E-03  -1.305E-02
    s33    3.641E-07  1.134E-05   1.415E-02   3.940E-07  1.137E-05   1.529E-02
    s34   -2.543E-05  5.236E-04  -2.062E-02  -2.615E-05  5.229E-04  -2.122E-02
    s35    2.939E-05  2.939E-05   0.000E+00   3.031E-05  3.031E-05   0.000E+00
   fe54   -1.128E-05  1.942E-04  -2.456E-02  -1.158E-05  1.939E-04  -2.521E-02
   fe55    5.208E-07  5.208E-07   0.000E+00   5.200E-07  5.200E-07   0.000E+00
   fe56   -1.678E-04  3.202E-03  -2.220E-02  -1.726E-04  3.197E-03  -2.286E-02
